,precipitation,t -1,t -2,t -3,t -4,t -5,t -6,t -7,t -8,t -9,t -10,t -11,t -12,t -13,t -14,t -15,t -16,t -17,t -18,t -19,t -20,t -21,t -22,t -23
76,4.5102,34.0,88.0,85.0,55.0,1.0,0.0,402.0,1290.0,3087.0,2822.0,1408.0,12.0,106.0,0.0,6.0,150.0,35.0,0.0,242.0,572.0,1958.0,3401.0,1691.0
77,34.1361,32.0,34.0,88.0,85.0,55.0,1.0,0.0,402.0,1290.0,3087.0,2822.0,1408.0,12.0,106.0,0.0,6.0,150.0,35.0,0.0,242.0,572.0,1958.0,3401.0
78,1.0386,1293.0,32.0,34.0,88.0,85.0,55.0,1.0,0.0,402.0,1290.0,3087.0,2822.0,1408.0,12.0,106.0,0.0,6.0,150.0,35.0,0.0,242.0,572.0,1958.0
79,13.5347,3657.0,1293.0,32.0,34.0,88.0,85.0,55.0,1.0,0.0,402.0,1290.0,3087.0,2822.0,1408.0,12.0,106.0,0.0,6.0,150.0,35.0,0.0,242.0,572.0
80,5.4085,2073.0,3657.0,1293.0,32.0,34.0,88.0,85.0,55.0,1.0,0.0,402.0,1290.0,3087.0,2822.0,1408.0,12.0,106.0,0.0,6.0,150.0,35.0,0.0,242.0
81,11.2599,3552.0,2073.0,3657.0,1293.0,32.0,34.0,88.0,85.0,55.0,1.0,0.0,402.0,1290.0,3087.0,2822.0,1408.0,12.0,106.0,0.0,6.0,150.0,35.0,0.0
82,131.6273,208.0,3552.0,2073.0,3657.0,1293.0,32.0,34.0,88.0,85.0,55.0,1.0,0.0,402.0,1290.0,3087.0,2822.0,1408.0,12.0,106.0,0.0,6.0,150.0,35.0
83,168.2878,2.0,208.0,3552.0,2073.0,3657.0,1293.0,32.0,34.0,88.0,85.0,55.0,1.0,0.0,402.0,1290.0,3087.0,2822.0,1408.0,12.0,106.0,0.0,6.0,150.0
84,91.6365,30.0,2.0,208.0,3552.0,2073.0,3657.0,1293.0,32.0,34.0,88.0,85.0,55.0,1.0,0.0,402.0,1290.0,3087.0,2822.0,1408.0,12.0,106.0,0.0,6.0
85,49.253,145.0,30.0,2.0,208.0,3552.0,2073.0,3657.0,1293.0,32.0,34.0,88.0,85.0,55.0,1.0,0.0,402.0,1290.0,3087.0,2822.0,1408.0,12.0,106.0,0.0
86,33.6671,13.0,145.0,30.0,2.0,208.0,3552.0,2073.0,3657.0,1293.0,32.0,34.0,88.0,85.0,55.0,1.0,0.0,402.0,1290.0,3087.0,2822.0,1408.0,12.0,106.0
87,110.175,22.0,13.0,145.0,30.0,2.0,208.0,3552.0,2073.0,3657.0,1293.0,32.0,34.0,88.0,85.0,55.0,1.0,0.0,402.0,1290.0,3087.0,2822.0,1408.0,12.0
88,13.5567,56.0,22.0,13.0,145.0,30.0,2.0,208.0,3552.0,2073.0,3657.0,1293.0,32.0,34.0,88.0,85.0,55.0,1.0,0.0,402.0,1290.0,3087.0,2822.0,1408.0
89,6.3439,83.0,56.0,22.0,13.0,145.0,30.0,2.0,208.0,3552.0,2073.0,3657.0,1293.0,32.0,34.0,88.0,85.0,55.0,1.0,0.0,402.0,1290.0,3087.0,2822.0
90,4.1732,1873.0,83.0,56.0,22.0,13.0,145.0,30.0,2.0,208.0,3552.0,2073.0,3657.0,1293.0,32.0,34.0,88.0,85.0,55.0,1.0,0.0,402.0,1290.0,3087.0
91,0.0377,1716.0,1873.0,83.0,56.0,22.0,13.0,145.0,30.0,2.0,208.0,3552.0,2073.0,3657.0,1293.0,32.0,34.0,88.0,85.0,55.0,1.0,0.0,402.0,1290.0
92,20.2526,4057.0,1716.0,1873.0,83.0,56.0,22.0,13.0,145.0,30.0,2.0,208.0,3552.0,2073.0,3657.0,1293.0,32.0,34.0,88.0,85.0,55.0,1.0,0.0,402.0
93,18.1933,2493.0,4057.0,1716.0,1873.0,83.0,56.0,22.0,13.0,145.0,30.0,2.0,208.0,3552.0,2073.0,3657.0,1293.0,32.0,34.0,88.0,85.0,55.0,1.0,0.0
